Description,Price,Rating,Review Count,Url
"Lizsword Wired Gaming Mouse, PC Gaming Mice [Breathing RGB LED] [Plug Play] High-Precision Adjustable 7200 DPI, 7 Programmable Buttons, Ergonomic Computer USB Mouse for Windows/PC/Mac/Laptop Gamer",$16.99,4.5 out of 5 stars,"(1,179)",https://www.amazon.com/Lizsword-Breathing-High-Precision-Adjustable-Programmable/dp/B09NBV52FS/ref=sr_1_19?keywords=gaming+mouse&qid=1673328835&sr=8-19
"HyperX Pulsefire Haste – Gaming Mouse, Ultra-Lightweight, 59g, Honeycomb Shell, Hex Design, RGB, HyperFlex USB Cable, Up to 16000 DPI, 6 Programmable Buttons",$39.90,4.6 out of 5 stars,"(20,244)",https://www.amazon.com/HyperX-Pulsefire-Haste-Ultra-Lightweight-Programmable/dp/B08NSJFNSS/ref=sr_1_20?keywords=gaming+mouse&qid=1673328835&sr=8-20
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,$89.85,4.7 out of 5 stars,"(12,177)",https://www.amazon.com/Logitech-Wireless-Gaming-Esports-Performance/dp/B07GCKQD77/ref=sr_1_21?keywords=gaming+mouse&qid=1673328835&sr=8-21
Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lighting - 6 Programmable Buttons - Drag-Free Cord - Classic Black,$39.99,4.7 out of 5 stars,"(19,979)",https://www.amazon.com/Razer-Viper-Ultralight-Gaming-Mouse/dp/B084RPZD6T/ref=sr_1_22?keywords=gaming+mouse&qid=1673328835&sr=8-22
"RisoPhy Wireless Gaming Mouse,Tri-Mode 2.4G/USB-C/Bluetooth Mouse Up to 10000DPI,Chroma RGB Backlit,Ergonomic Mouse with 8 Programmable Buttons,On-Board Memory,Wireless Mouse for Laptop,PC,Mac Gamer",$22.09,4.4 out of 5 stars,(90),https://www.amazon.com/RisoPhy-Wireless-Bluetooth-Ergonomic-Programmable/dp/B0BCJC3GCY/ref=sr_1_23?keywords=gaming+mouse&qid=1673328835&sr=8-23
"Logitech G604 LIGHTSPEED Gaming Mouse with 15 programmable controls, up to 240 hour battery life, dual wireless connectivity modes, hyper-fast scroll wheel - Black",$60.38,4.5 out of 5 stars,"(7,197)",https://www.amazon.com/Logitech-LIGHTSPEED-programmable-connectivity-hyper-fast/dp/B07QN369XX/ref=sr_1_24?keywords=gaming+mouse&qid=1673328835&sr=8-24
"Logitech G502 X Wired Gaming Mouse - LIGHTFORCE hybrid optical-mechanical primary switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",$71.50,4.6 out of 5 stars,(349),https://www.amazon.com/Logitech-Wired-Gaming-Mouse-Optical-Mechanical/dp/B0943HXDVM/ref=sr_1_25?keywords=gaming+mouse&qid=1673328835&sr=8-25
"FIRSTBLOOD ONLY GAME. AJ52 Watcher RGB Gaming Mouse, Programmable 7 Buttons, Ergonomic LED Backlit USB Gamer Mice Computer Laptop PC, for Windows Mac Linux OS, Star White",$19.99,4.6 out of 5 stars,"(4,310)",https://www.amazon.com/Watcher-Programmable-Buttons-Ergonomic-Computer/dp/B01M2U8JU9/ref=sr_1_26?keywords=gaming+mouse&qid=1673328835&sr=8-26
"SteelSeries Rival 5 Gaming Mouse with PrismSync RGB Lighting and 9 Programmable Buttons – FPS, MOBA, MMO, Battle Royale – 18,000 CPI TrueMove Air Optical Sensor - Black",$39.69,4.5 out of 5 stars,"(6,615)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0262470XNNCXXSOIP5C&qualifier=1673328835&id=6797513583822533&widgetName=sp_mtf&url=%2FSteelSeries-PrismSync-Lighting-Programmable-Buttons%2Fdp%2FB093LSMKL3%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328835%26sr%3D8-27-spons%26psc%3D1
"MAGIC-REFINER Wired Lightweight Gaming Mouse, 69g Ultralight Honeycomb Shell, RGB Chroma Backlit, 6400 DPI Optical Sensor, Ergonomic 6 Programmable Buttons for E-Sports,Laptop,PC,Mac Gamer",$21.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A065562020Z4NTZWOLAHY&qualifier=1673328835&id=6797513583822533&widgetName=sp_mtf&url=%2FMAGIC-REFINER-Lightweight-Ultralight-Honeycomb-Programmable%2Fdp%2FB0BPBS5JZ3%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328835%26sr%3D8-28-spons%26psc%3D1
